date,cluster,host,disk,score,pred
2025-10-09,cluster_A,host_synth1,disk1,1.7231130399057006,False
2025-10-09,cluster_A,host_synth1,disk2,0.0,False
2025-10-09,cluster_A,host_synth1,disk3,0.0,False
2025-10-09,cluster_A,host_synth1,disk4,0.0,False
2025-10-09,cluster_A,host_synth1,disk5,0.0,False
2025-10-09,cluster_A,host_synth1,disk6,0.0,False
2025-10-09,cluster_A,host_synth1,disk7,0.0,False
2025-10-09,cluster_A,host_synth1,disk8,0.0,False
2025-10-09,cluster_A,host_synth1,disk9,0.0,False
2025-10-09,cluster_A,host_synth1,disk10,0.0,False
2025-10-09,cluster_A,host_synth1,disk11,0.0,False
2025-10-09,cluster_A,host_synth1,disk12,0.0,False
2025-10-09,cluster_B,host_synth1,disk1,11.999419435538334,False
2025-10-09,cluster_B,host_synth1,disk2,0.0,False
2025-10-09,cluster_B,host_synth1,disk3,0.0,False
2025-10-09,cluster_B,host_synth1,disk4,0.0,False
2025-10-09,cluster_B,host_synth1,disk5,0.0,False
2025-10-09,cluster_B,host_synth1,disk6,0.0,False
2025-10-09,cluster_B,host_synth1,disk7,0.0,False
2025-10-09,cluster_B,host_synth1,disk8,0.0,False
2025-10-09,cluster_B,host_synth1,disk9,0.0,False
2025-10-09,cluster_B,host_synth1,disk10,0.0,False
2025-10-09,cluster_B,host_synth1,disk11,0.0,False
2025-10-09,cluster_B,host_synth1,disk12,0.0,False
